Profiel;Volgnr;Vraag;Optie A;Optie B;Optie C;Optie D;Juist antwoord;Juiste tekst
Elektro - Hulpmonteur;1;Welke kleur heeft de beschermingsaarde (PE) in een Nederlandse elektra-installatie?;Bruin;Blauw;Zwart;Geel/groen;D;Geel/groen
Elektro - Hulpmonteur;2;Op welke spanning werkt een standaard wandcontactdoos in Nederland?;24 Volt;400 Volt;230 Volt;110 Volt;C;230 Volt
Elektro - Hulpmonteur;3;Wat is de eerste actie ALTIJD voordat je werkt aan een elektrische installatie?;Handschoenen aandoen;Multimeter pakken;Collega waarschuwen;Spanning afschakelen, vergrendelen en spanningsloosheid controleren (LOTO);D;Spanning afschakelen, vergrendelen en spanningsloosheid controleren (LOTO)
Elektro - Hulpmonteur;4;Welk gereedschap gebruik je om de isolatie van een kabel te verwijderen?;Combinatietang;Hamer;Striptang;Schroevendraaier;C;Striptang
Elektro - Hulpmonteur;5;Wat betekent het IP-getal op elektrisch materiaal (bv. IP44)?;Vermogensklasse;Kabeldoorsnede;Spanningsklasse;Beschermingsgraad tegen aanraken, stof en water;D;Beschermingsgraad tegen aanraken, stof en water
Elektro - Hulpmonteur;6;Welk type kabel wordt gebruikt voor vaste installatie in een wand?;Verlengsnoer;UTP-kabel;H07RN-F;VMVK (NYM);D;VMVK (NYM)
Elektro - Hulpmonteur;7;Welke kleur heeft een nuldraad (N)?;Bruin;Geel/groen;Blauw;Zwart;C;Blauw
Elektro - Hulpmonteur;8;Welke kleur heeft de fasedraad in een moderne installatie?;Geel/groen;Wit;Bruin (of zwart/grijs in 3-fase);Blauw;C;Bruin (of zwart/grijs in 3-fase)
Elektro - Hulpmonteur;9;Wat is de functie van een aardlekschakelaar (ALS)?;Beveiligen tegen aardlekstromen om elektrocutie te voorkomen;Schakelen van verlichting;Beveiligen tegen overstroom;Spanningsregelaar;A;Beveiligen tegen aardlekstromen om elektrocutie te voorkomen
Elektro - Hulpmonteur;10;Hoe controleer je of een draad onder spanning staat?;Door te ruiken;Aan de kleur;Met een spanningstester of multimeter;Door aanraken;C;Met een spanningstester of multimeter
Elektro - Hulpmonteur;11;Wat moet je dragen tijdens werkzaamheden op de bouwplaats?;Sportschoenen;Alleen werkkleding;Gehoorbescherming alleen;Veiligheidshelm, veiligheidsschoenen S3 en zichtbaarheidskleding;D;Veiligheidshelm, veiligheidsschoenen S3 en zichtbaarheidskleding
Elektro - Hulpmonteur;12;Wat is een penspanningstester?;Een meetlint;Type zekering;Soort schroevendraaier;Klein apparaatje dat aangeeft of een geleider onder spanning staat;D;Klein apparaatje dat aangeeft of een geleider onder spanning staat
Elektro - Hulpmonteur;13;Wat is het maximum vermogen op een 16A groep bij 230V?;7360 W;1600 W;3680 W;16 W;C;3680 W
Elektro - Hulpmonteur;14;Hoe trek je het beste een kabel door een leeg installatiebuis?;Met de hand alleen;Met perslucht zonder beveiliging;Met een schroevendraaier;Met een trekveer (kabelvis) en eventueel trekolie;D;Met een trekveer (kabelvis) en eventueel trekolie
Elektro - Hulpmonteur;15;Op welke standaardhoogte komt een wandcontactdoos in een woonruimte?;Circa 30 cm boven afgewerkte vloer;Circa 100 cm;Circa 5 cm;Circa 180 cm;A;Circa 30 cm boven afgewerkte vloer
Elektro - Hulpmonteur;16;Welk gereedschap gebruik je om gaten in beton te boren voor installatiebuis?;Lijmtang;Klop-/breekboor (SDS);Decoupeerzaag;Houtboor;B;Klop-/breekboor (SDS)
Elektro - Hulpmonteur;17;Wat doe je als je beschadigd gereedschap aantreft?;Doorgebruiken tot eind dag;Doorgeven aan collega;Zelf snel repareren;Direct uit gebruik nemen, melden en laten keuren;D;Direct uit gebruik nemen, melden en laten keuren
Elektro - Hulpmonteur;18;Wat is een Wago lasklem?;Type zekering;Een meetinstrument;Een steekklem voor het verbinden van geleiders zonder schroef;Soort schakelaar;C;Een steekklem voor het verbinden van geleiders zonder schroef
Elektro - Hulpmonteur;19;Wat is het verschil tussen inbouw- en opbouwmateriaal?;Geen verschil;Opbouw heeft hogere spanning;Inbouw is voor buiten;Inbouw zit verzonken in de wand, opbouw zit op de wand;D;Inbouw zit verzonken in de wand, opbouw zit op de wand
Elektro - Hulpmonteur;20;Op dit project geldt een TOTAAL LASVERBOD. Hoe bevestig je dan kabelgoten aan de constructie?;Met schroef-/boutverbindingen of klemsystemen;Met TIG-lassen;Met MIG-lassen;Met thermiet;A;Met schroef-/boutverbindingen of klemsystemen
Elektro - Hulpmonteur;21;Waarom is er een lasverbod op dit project?;De gebouwen hebben houten vloeren — brandgevaar;Lassen is te duur;Lasrook is verboden;Geen geschikt lasapparaat aanwezig;A;De gebouwen hebben houten vloeren — brandgevaar
Elektro - Hulpmonteur;22;Wat doe je voordat je een gat door een muur boort?;Locatie van leidingen/draden controleren met detectie;Kleinere boor pakken;Vragen of een collega kijkt;Direct boren;A;Locatie van leidingen/draden controleren met detectie
Elektro - Hulpmonteur;23;Welke minimale aderdoorsnede gebruik je voor een verlichtingsgroep?;0,75 mm²;6 mm²;0,5 mm²;1,5 mm²;D;1,5 mm²
Elektro - Hulpmonteur;24;Welke minimale aderdoorsnede gebruik je voor een 16A wandcontactdoosgroep?;0,75 mm²;10 mm²;2,5 mm²;1,5 mm²;C;2,5 mm²
Elektro - Hulpmonteur;25;Wat is een aftakdoos (lasdoos)?;Type stekkerdoos;Doos waarin geleiders met elkaar verbonden worden;Een soort zekering;Voedingsbron;B;Doos waarin geleiders met elkaar verbonden worden
Elektro - Hulpmonteur;26;Wat doe je met restafval (kabelresten, verpakking) op de bouwplaats?;In de prullenbak;Laten liggen;Scheiden en in juiste afvalcontainer afvoeren;Mee naar huis;C;Scheiden en in juiste afvalcontainer afvoeren
Elektro - Hulpmonteur;27;Wat is een DALI-systeem?;Een schakelaar;Soort zekering;Type kabel;Een protocol voor digitale verlichtingssturing;D;Een protocol voor digitale verlichtingssturing
